Hour,Heating Demand (kWh),Cooling Demand (kWh)
154,3.3,0.0
155,3.4,0.0
156,3.5,0.0
157,3.4,0.0
158,3.3,0.0
159,3.2,0.0
160,3.1,0.0
161,3.0,0.0
162,2.9,0.0
163,2.8,0.0
164,2.7,0.0
165,2.6,0.0
166,2.5,0.0
167,2.4,0.0
168,2.3,0.0
169,2.4,0.0
170,2.5,0.0
171,2.6,0.0
172,2.7,0.0
173,2.8,0.0
174,2.9,0.0
175,3.0,0.0
176,3.1,0.0
177,3.2,0.0
178,3.3,0.0
179,3.4,0.0
180,3.5,0.0
181,3.4,0.0
182,3.3,0.0
183,3.2,0.0
184,3.1,0.0
185,3.0,0.0
186,2.9,0.0
187,2.8,0.0
188,2.7,0.0
189,2.6,0.0
190,2.5,0.0
191,2.4,0.0
192,2.3,0.0
193,2.4,0.0
194,2.5,0.0
195,2.6,0.0
196,2.7,0.0
197,2.8,0.0
198,2.9,0.0
199,3.0,0.0
200,3.1,0.0
201,3.2,0.0
202,3.3,0.0
203,3.4,0.0
204,3.5,0.0
205,3.4,0.0
206,3.3,0.0
207,3.2,0.0
208,3.1,0.0
209,3.0,0.0
210,2.9,0.0
211,2.8,0.0
212,2.7,0.0
213,2.6,0.0
214,2.5,0.0
215,2.4,0.0
216,2.3,0.0
217,2.4,0.0
218,2.5,0.0
219,2.6,0.0
220,2.7,0.0
221,2.8,0.0
222,2.9,0.0
223,3.0,0.0
224,3.1,0.0
225,3.2,0.0
226,3.3,0.0
227,3.4,0.0
228,3.5,0.0
229,3.4,0.0
230,3.3,0.0
231,3.2,0.0
232,3.1,0.0
233,3.0,0.0
234,2.9,0.0
235,2.8,0.0
236,2.7,0.0
237,2.6,0.0
238,2.5,0.0
239,2.4,0.0
240,2.3,0.0
241,2.4,0.0
242,2.5,0.0
243,2.6,0.0
244,2.7,0.0
245,2.8,0.0
246,2.9,0.0
247,3.0,0.0
248,3.1,0.0
249,3.2,0.0
250,3.3,0.0
251,3.4,0.0
252,3.5,0.0
253,3.4,0.0
254,3.3,0.0
255,3.2,0.0
256,3.1,0.0
257,3.0,0.0
258,2.9,0.0
259,2.8,0.0
260,2.7,0.0
261,2.6,0.0
262,2.5,0.0
263,2.4,0.0
264,2.3,0.0
265,2.4,0.0
266,2.5,0.0
267,2.6,0.0
268,2.7,0.0
269,2.8,0.0
270,2.9,0.0
271,3.0,0.0
272,3.1,0.0
273,3.2,0.0
274,3.3,0.0
275,3.4,0.0
276,3.5,0.0
277,3.4,0.0
278,3.3,0.0
279,3.2,0.0
280,3.1,0.0
281,3.0,0.0
282,2.9,0.0
283,2.8,0.0
284,2.7,0.0
285,2.6,0.0
286,2.5,0.0
287,2.4,0.0
288,2.3,0.0
289,2.4,0.0
290,2.5,0.0
291,2.6,0.0
292,2.7,0.0
293,2.8,0.0
294,2.9,0.0
295,3.0,0.0
296,3.1,0.0
297,3.2,0.0
298,3.3,0.0
299,3.4,0.0
300,3.5,0.0
301,3.4,0.0
302,3.3,0.0
303,3.2,0.0
304,3.1,0.0
305,3.0,0.0
306,2.9,0.0
307,2.8,0.0
308,2.7,0.0
309,2.6,0.0
310,2.5,0.0
311,2.4,0.0
312,2.3,0.0
313,2.4,0.0
314,2.5,0.0
315,2.6,0.0
316,2.7,0.0
317,2.8,0.0
318,2.9,0.0
319,3.0,0.0
320,3.1,0.0
321,3.2,0.0
322,3.3,0.0
323,3.4,0.0
324,3.5,0.0
325,3.4,0.0
326,3.3,0.0
327,3.2,0.0
328,3.1,0.0
329,3.0,0.0
330,2.9,0.0
331,2.8,0.0
332,2.7,0.0
333,2.6,0.0
334,2.5,0.0
335,2.4,0.0
336,2.3,0.0
337,2.4,0.0
338,2.5,0.0
339,2.6,0.0
340,2.7,0.0
341,2.8,0.0
342,2.9,0.0
343,3.0,0.0
344,3.1,0.0
345,3.2,0.0
346,3.3,0.0
347,3.4,0.0
348,3.5,0.0
349,3.4,0.0
350,3.3,0.0
351,3.2,0.0
352,3.1,0.0
353,3.0,0.0
354,2.9,0.0
355,2.8,0.0
356,2.7,0.0
357,2.6,0.0
358,2.5,0.0
359,2.4,0.0
360,2.3,0.0
361,2.4,0.0
362,2.5,0.0
363,2.6,0.0
364,2.7,0.0
365,2.8,0.0
366,2.9,0.0
367,3.0,0.0
368,3.1,0.0
369,3.2,0.0
370,3.3,0.0
371,3.4,0.0
372,3.5,0.0
373,3.4,0.0
374,3.3,0.0
375,3.2,0.0
376,3.1,0.0
377,3.0,0.0
378,2.9,0.0
379,2.8,0.0
380,2.7,0.0
381,2.6,0.0
382,2.5,0.0
383,2.4,0.0
384,2.3,0.0
385,2.4,0.0
386,2.5,0.0
387,2.6,0.0
388,2.7,0.0
389,2.8,0.0
390,2.9,0.0
391,3.0,0.0
392,3.1,0.0
393,3.2,0.0
394,3.3,0.0
395,3.4,0.0
396,3.5,0.0
397,3.4,0.0
398,3.3,0.0
399,3.2,0.0
400,3.1,0.0
401,3.0,0.0
402,2.9,0.0
403,2.8,0.0
404,2.7,0.0
405,2.6,0.0
406,2.5,0.0
407,2.4,0.0
408,2.3,0.0
409,2.4,0.0
410,2.5,0.0
411,2.6,0.0
412,2.7,0.0
413,2.8,0.0
414,2.9,0.0
415,3.0,0.0
416,3.1,0.0
417,3.2,0.0
418,3.3,0.0
419,3.4,0.0
420,3.5,0.0
421,3.4,0.0
422,3.3,0.0
423,3.2,0.0
424,3.1,0.0
425,3.0,0.0
426,2.9,0.0
427,2.8,0.0
428,2.7,0.0
429,2.6,0.0
430,2.5,0.0
431,2.4,0.0
432,2.3,0.0
433,2.4,0.0
434,2.5,0.0
435,2.6,0.0
436,2.7,0.0
437,2.8,0.0
438,2.9,0.0
439,3.0,0.0
440,3.1,0.0
441,3.2,0.0
442,3.3,0.0
443,3.4,0.0
444,3.5,0.0
445,3.4,0.0
446,3.3,0.0
447,3.2,0.0
448,3.1,0.0
449,3.0,0.0
450,2.9,0.0
451,2.8,0.0
452,2.7,0.0
453,2.6,0.0
454,2.5,0.0
455,2.4,0.0
456,2.3,0.0
457,2.4,0.0
458,2.5,0.0
459,2.6,0.0
460,2.7,0.0
461,2.8,0.0
462,2.9,0.0
463,3.0,0.0
464,3.1,0.0
465,3.2,0.0
466,3.3,0.0
467,3.4,0.0
468,3.5,0.0
469,3.4,0.0
470,3.3,0.0
471,3.2,0.0
472,3.1,0.0
473,3.0,0.0
474,2.9,0.0
475,2.8,0.0
476,2.7,0.0
477,2.6,0.0
478,2.5,0.0
479,2.4,0.0
480,2.3,0.0
481,2.4,0.0
482,2.5,0.0
483,2.6,0.0
484,2.7,0.0
485,2.8,0.0
486,2.9,0.0
487,3.0,0.0
488,3.1,0.0
489,3.2,0.0
490,3.3,0.0
491,3.4,0.0
492,3.5,0.0
493,3.4,0.0
494,3.3,0.0
495,3.2,0.0
496,3.1,0.0
497,3.0,0.0
498,2.9,0.0
499,2.8,0.0
500,2.7,0.0
501,2.6,0.0
502,2.5,0.0
503,2.4,0.0
504,2.3,0.0
505,2.4,0.0
506,2.5,0.0
507,2.6,0.0
508,2.7,0.0
509,2.8,0.0
510,2.9,0.0
511,3.0,0.0
512,3.1,0.0
513,3.2,0.0
514,3.3,0.0
515,3.4,0.0
516,3.5,0.0
517,3.4,0.0
518,3.3,0.0
519,3.2,0.0
520,3.1,0.0
521,3.0,0.0
522,2.9,0.0
523,2.8,0.0
524,2.7,0.0
525,2.6,0.0
526,2.5,0.0
527,2.4,0.0
528,2.3,0.0
529,2.4,0.0
530,2.5,0.0
531,2.6,0.0
532,2.7,0.0
533,2.8,0.0
534,2.9,0.0
535,3.0,0.0
536,3.1,0.0
537,3.2,0.0
538,3.3,0.0
539,3.4,0.0
540,3.5,0.0
541,3.4,0.0
542,3.3,0.0
543,3.2,0.0
544,3.1,0.0
545,3.0,0.0
546,2.9,0.0
547,2.8,0.0
548,2.7,0.0
549,2.6,0.0
550,2.5,0.0
551,2.4,0.0
552,2.3,0.0
553,2.4,0.0
554,2.5,0.0
555,2.6,0.0
556,2.7,0.0
557,2.8,0.0
558,2.9,0.0
559,3.0,0.0
560,3.1,0.0
561,3.2,0.0
562,3.3,0.0
563,3.4,0.0
564,3.5,0.0
565,3.4,0.0
566,3.3,0.0
567,3.2,0.0
568,3.1,0.0
569,3.0,0.0
570,2.9,0.0
571,2.8,0.0
572,2.7,0.0
573,2.6,0.0
574,2.5,0.0
575,2.4,0.0
576,2.3,0.0
577,2.4,0.0
578,2.5,0.0
579,2.6,0.0
580,2.7,0.0
581,2.8,0.0
582,2.9,0.0
583,3.0,0.0
584,3.1,0.0
585,3.2,0.0
586,3.3,0.0
587,3.4,0.0
588,3.5,0.0
589,3.4,0.0
590,3.3,0.0
591,3.2,0.0
592,3.1,0.0
593,3.0,0.0
594,2.9,0.0
595,2.8,0.0
596,2.7,0.0
597,2.6,0.0
598,2.5,0.0
599,2.4,0.0
600,2.3,0.0
601,2.4,0.0
602,2.5,0.0
603,2.6,0.0
604,2.7,0.0
605,2.8,0.0
606,2.9,0.0
607,3.0,0.0
608,3.1,0.0
609,3.2,0.0
610,3.3,0.0
611,3.4,0.0
612,3.5,0.0
613,3.4,0.0
614,3.3,0.0
615,3.2,0.0
616,3.1,0.0
617,3.0,0.0
618,2.9,0.0
619,2.8,0.0
620,2.7,0.0
621,2.6,0.0
622,2.5,0.0
623,2.4,0.0
624,2.3,0.0
625,2.4,0.0
626,2.5,0.0
627,2.6,0.0
628,2.7,0.0
629,2.8,0.0
630,2.9,0.0
631,3.0,0.0
632,3.1,0.0
633,3.2,0.0
634,3.3,0.0
635,3.4,0.0
636,3.5,0.0
637,3.4,0.0
638,3.3,0.0
639,3.2,0.0
640,3.1,0.0
641,3.0,0.0
642,2.9,0.0
643,2.8,0.0
644,2.7,0.0
645,2.6,0.0
646,2.5,0.0
647,2.4,0.0
648,2.3,0.0
649,2.4,0.0
650,2.5,0.0
651,2.6,0.0
652,2.7,0.0
653,2.8,0.0
654,2.9,0.0
655,3.0,0.0
656,3.1,0.0
657,3.2,0.0
658,3.3,0.0
659,3.4,0.0
660,3.5,0.0
661,3.4,0.0
662,3.3,0.0
663,3.2,0.0
664,3.1,0.0
665,3.0,0.0
666,2.9,0.0
667,2.8,0.0
668,2.7,0.0
669,2.6,0.0
670,2.5,0.0
671,2.4,0.0
672,2.3,0.0
673,2.4,0.0
674,2.5,0.0
675,2.6,0.0
676,2.7,0.0
677,2.8,0.0
678,2.9,0.0
679,3.0,0.0
680,3.1,0.0
681,3.2,0.0
682,3.3,0.0
683,3.4,0.0
684,3.5,0.0
685,3.4,0.0
686,3.3,0.0
687,3.2,0.0
688,3.1,0.0
689,3.0,0.0
690,2.9,0.0
691,2.8,0.0
692,2.7,0.0
693,2.6,0.0
694,2.5,0.0
695,2.4,0.0
696,2.3,0.0
697,2.4,0.0
698,2.5,0.0
699,2.6,0.0
700,2.7,0.0
701,2.8,0.0
702,2.9,0.0
703,3.0,0.0
704,3.1,0.0
705,3.2,0.0
706,3.3,0.0
707,3.4,0.0
708,3.5,0.0
709,3.4,0.0
710,3.3,0.0
711,3.2,0.0
712,3.1,0.0
713,3.0,0.0
714,2.9,0.0
715,2.8,0.0
716,2.7,0.0
717,2.6,0.0
718,2.5,0.0
719,2.4,0.0
720,2.3,0.0
721,2.4,0.0
722,2.5,0.0
723,2.6,0.0
724,2.7,0.0
725,2.8,0.0
726,2.9,0.0
727,3.0,0.0
728,3.1,0.0
729,3.2,0.0
730,3.3,0.0
731,3.4,0.0
732,3.5,0.0
733,3.4,0.0
734,3.3,0.0
735,3.2,0.0
736,3.1,0.0
737,3.0,0.0
738,2.9,0.0
739,2.8,0.0
740,2.7,0.0
741,2.6,0.0
742,2.5,0.0
743,2.4,0.0
744,2.3,0.0
745,2.4,0.0
746,2.5,0.0
747,2.6,0.0
748,2.7,0.0
749,2.8,0.0
750,2.9,0.0
751,3.0,0.0
752,3.1,0.0
753,3.2,0.0
754,3.3,0.0
755,3.4,0.0
756,3.5,0.0
757,3.4,0.0
758,3.3,0.0
759,3.2,0.0
760,3.1,0.0
761,3.0,0.0
762,2.9,0.0
763,2.8,0.0
764,2.7,0.0
765,2.6,0.0
766,2.5,0.0
767,2.4,0.0
768,2.3,0.0
769,2.4,0.0
770,2.5,0.0
771,2.6,0.0
772,2.7,0.0
773,2.8,0.0
774,2.9,0.0
775,3.0,0.0
776,3.1,0.0
777,3.2,0.0
778,3.3,0.0
779,3.4,0.0
780,3.5,0.0
781,3.4,0.0
782,3.3,0.0
783,3.2,0.0
784,3.1,0.0
785,3.0,0.0
786,2.9,0.0
787,2.8,0.0
788,2.7,0.0
789,2.6,0.0
790,2.5,0.0
791,2.4,0.0
792,2.3,0.0
793,2.4,0.0
794,2.5,0.0
795,2.6,0.0
796,2.7,0.0
797,2.8,0.0
798,2.9,0.0
799,3.0,0.0
800,3.1,0.0
801,3.2,0.0
802,3.3,0.0
803,3.4,0.0
804,3.5,0.0
805,3.4,0.0
806,3.3,0.0
807,3.2,0.0
808,3.1,0.0
809,3.0,0.0
810,2.9,0.0
811,2.8,0.0
812,2.7,0.0
813,2.6,0.0
814,2.5,0.0
815,2.4,0.0
816,2.3,0.0
817,2.4,0.0
818,2.5,0.0
819,2.6,0.0
820,2.7,0.0
821,2.8,0.0
822,2.9,0.0
823,3.0,0.0
824,3.1,0.0
825,3.2,0.0
826,3.3,0.0
827,3.4,0.0
828,3.5,0.0
829,3.4,0.0
830,3.3,0.0
831,3.2,0.0
832,3.1,0.0
833,3.0,0.0
834,2.9,0.0
835,2.8,0.0
836,2.7,0.0
837,2.6,0.0
838,2.5,0.0
839,2.4,0.0
840,2.3,0.0
841,2.4,0.0
842,2.5,0.0
843,2.6,0.0
844,2.7,0.0
845,2.8,0.0
846,2.9,0.0
847,3.0,0.0
848,3.1,0.0
849,3.2,0.0
850,3.3,0.0
851,3.4,0.0
852,3.5,0.0
853,3.4,0.0
854,3.3,0.0
855,3.2,0.0
856,3.1,0.0
857,3.0,0.0
858,2.9,0.0
859,2.8,0.0
860,2.7,0.0
861,2.6,0.0
862,2.5,0.0
863,2.4,0.0
864,2.3,0.0
865,2.4,0.0
866,2.5,0.0
867,2.6,0.0
868,2.7,0.0
869,2.8,0.0
870,2.9,0.0
871,3.0,0.0
872,3.1,0.0
873,3.2,0.0
874,3.3,0.0
875,3.4,0.0
876,3.5,0.0
877,3.4,0.0
878,3.3,0.0
879,3.2,0.0
880,3.1,0.0
881,3.0,0.0
882,2.9,0.0
883,2.8,0.0
884,2.7,0.0
885,2.6,0.0
886,2.5,0.0
887,2.4,0.0
888,2.3,0.0
889,2.4,0.0
890,2.5,0.0
891,2.6,0.0
892,2.7,0.0
893,2.8,0.0
894,2.9,0.0
895,3.0,0.0
896,3.1,0.0
897,3.2,0.0
898,3.3,0.0
899,3.4,0.0
900,3.5,0.0
901,3.4,0.0
902,3.3,0.0
903,3.2,0.0
904,3.1,0.0
905,3.0,0.0
906,2.9,0.0
907,2.8,0.0
908,2.7,0.0
909,2.6,0.0
910,2.5,0.0
911,2.4,0.0
912,2.3,0.0
913,2.4,0.0
914,2.5,0.0
915,2.6,0.0
916,2.7,0.0
917,2.8,0.0
918,2.9,0.0
919,3.0,0.0
920,3.1,0.0
921,3.2,0.0
922,3.3,0.0
923,3.4,0.0
924,3.5,0.0
925,3.4,0.0
926,3.3,0.0
927,3.2,0.0
928,3.1,0.0
929,3.0,0.0
930,2.9,0.0
931,2.8,0.0
932,2.7,0.0
933,2.6,0.0
934,2.5,0.0
935,2.4,0.0
936,2.3,0.0
937,2.4,0.0
938,2.5,0.0
939,2.6,0.0
940,2.7,0.0
941,2.8,0.0
942,2.9,0.0
943,3.0,0.0
944,3.1,0.0
945,3.2,0.0
946,3.3,0.0
947,3.4,0.0
948,3.5,0.0
949,3.4,0.0
950,3.3,0.0
951,3.2,0.0
952,3.1,0.0
953,3.0,0.0
954,2.9,0.0
955,2.8,0.0
956,2.7,0.0
957,2.6,0.0
958,2.5,0.0
959,2.4,0.0
960,2.3,0.0
961,2.4,0.0
962,2.5,0.0
963,2.6,0.0
964,2.7,0.0
965,2.8,0.0
966,2.9,0.0
967,3.0,0.0
968,3.1,0.0
969,3.2,0.0
970,3.3,0.0
971,3.4,0.0
972,3.5,0.0
973,3.4,0.0
974,3.3,0.0
975,3.2,0.0
976,3.1,0.0
977,3.0,0.0
978,2.9,0.0
979,2.8,0.0
980,2.7,0.0
981,2.6,0.0
982,2.5,0.0
983,2.4,0.0
984,2.3,0.0
985,2.4,0.0
986,2.5,0.0
987,2.6,0.0
988,2.7,0.0
989,2.8,0.0
990,2.9,0.0
991,3.0,0.0
992,3.1,0.0
993,3.2,0.0
994,3.3,0.0
995,3.4,0.0
996,3.5,0.0
997,3.4,0.0
998,3.3,0.0
999,3.2,0.0
1000,3.1,0.0
1001,3.0,0.0
1002,2.9,0.0
1003,2.8,0.0
1004,2.7,0.0
1005,2.6,0.0
1006,2.5,0.0
1007,2.4,0.0
1008,2.3,0.0
1009,2.4,0.0
1010,2.5,0.0
1011,2.6,0.0
1012,2.7,0.0
1013,2.8,0.0
1014,2.9,0.0
1015,3.0,0.0
1016,3.1,0.0
1017,3.2,0.0
1018,3.3,0.0
1019,3.4,0.0
1020,3.5,0.0
1021,3.4,0.0
1022,3.3,0.0
1023,3.2,0.0
1024,3.1,0.0
1025,3.0,0.0
1026,2.9,0.0
1027,2.8,0.0
1028,2.7,0.0
1029,2.6,0.0
1030,2.5,0.0
1031,2.4,0.0
1032,2.3,0.0
1033,2.4,0.0
1034,2.5,0.0
1035,2.6,0.0
1036,2.7,0.0
1037,2.8,0.0
1038,2.9,0.0
1039,3.0,0.0
1040,3.1,0.0
1041,3.2,0.0
1042,3.3,0.0
1043,3.4,0.0
1044,3.5,0.0
1045,3.4,0.0
1046,3.3,0.0
1047,3.2,0.0
1048,3.1,0.0
1049,3.0,0.0
1050,2.9,0.0
1051,2.8,0.0
1052,2.7,0.0
1053,2.6,0.0
1054,2.5,0.0
1055,2.4,0.0
1056,2.3,0.0
1057,2.4,0.0
1058,2.5,0.0
1059,2.6,0.0
1060,2.7,0.0
1061,2.8,0.0
1062,2.9,0.0
1063,3.0,0.0
1064,3.1,0.0
1065,3.2,0.0
1066,3.3,0.0
1067,3.4,0.0
1068,3.5,0.0
1069,3.4,0.0
1070,3.3,0.0
1071,3.2,0.0
1072,3.1,0.0
1073,3.0,0.0
1074,2.9,0.0
1075,2.8,0.0
1076,2.7,0.0
1077,2.6,0.0
1078,2.5,0.0
1079,2.4,0.0
1080,2.3,0.0
1081,2.4,0.0
1082,2.5,0.0
1083,2.6,0.0
1084,2.7,0.0
1085,2.8,0.0
1086,2.9,0.0
1087,3.0,0.0
1088,3.1,0.0
1089,3.2,0.0
1090,3.3,0.0
1091,3.4,0.0
1092,3.5,0.0
1093,3.4,0.0
1094,3.3,0.0
1095,3.2,0.0
1096,3.1,0.0
1097,3.0,0.0
1098,2.9,0.0
1099,2.8,0.0
1100,2.7,0.0
1101,2.6,0.0
1102,2.5,0.0
1103,2.4,0.0
1104,2.3,0.0
1105,2.4,0.0
1106,2.5,0.0
1107,2.6,0.0
1108,2.7,0.0
1109,2.8,0.0
1110,2.9,0.0
1111,3.0,0.0
1112,3.1,0.0
1113,3.2,0.0
1114,3.3,0.0
1115,3.4,0.0
1116,3.5,0.0
1117,3.4,0.0
1118,3.3,0.0
1119,3.2,0.0
1120,3.1,0.0
1121,3.0,0.0
1122,2.9,0.0
1123,2.8,0.0
1124,2.7,0.0
1125,2.6,0.0
1126,2.5,0.0
1127,2.4,0.0
1128,2.3,0.0
1129,2.4,0.0
1130,2.5,0.0
1131,2.6,0.0
1132,2.7,0.0
1133,2.8,0.0
1134,2.9,0.0
1135,3.0,0.0
1136,3.1,0.0
1137,3.2,0.0
1138,3.3,0.0
1139,3.4,0.0
1140,3.5,0.0
1141,3.4,0.0
1142,3.3,0.0
1143,3.2,0.0
1144,3.1,0.0
1145,3.0,0.0
1146,2.9,0.0
1147,2.8,0.0
1148,2.7,0.0
1149,2.6,0.0
1150,2.5,0.0
1151,2.4,0.0
1152,2.3,0.0
1153,2.4,0.0
1154,2.5,0.0
1155,2.6,0.0
1156,2.7,0.0
1157,2.8,0.0
1158,2.9,0.0
1159,3.0,0.0
1160,3.1,0.0
1161,3.2,0.0
1162,3.3,0.0
1163,3.4,0.0
1164,3.5,0.0
1165,3.4,0.0
1166,3.3,0.0
1167,3.2,0.0
1168,3.1,0.0
1169,3.0,0.0
1170,2.9,0.0
1171,2.8,0.0
1172,2.7,0.0
1173,2.6,0.0
1174,2.5,0.0
1175,2.4,0.0
1176,2.3,0.0
1177,2.4,0.0
1178,2.5,0.0
1179,2.6,0.0
1180,2.7,0.0
1181,2.8,0.0
1182,2.9,0.0
1183,3.0,0.0
1184,3.1,0.0
1185,3.2,0.0
1186,3.3,0.0
1187,3.4,0.0
1188,3.5,0.0
1189,3.4,0.0
1190,3.3,0.0
1191,3.2,0.0
1192,3.1,0.0
1193,3.0,0.0
1194,2.9,0.0
1195,2.8,0.0
1196,2.7,0.0
1197,2.6,0.0
1198,2.5,0.0
1199,2.4,0.0
1200,2.3,0.0
1201,2.4,0.0
1202,2.5,0.0
1203,2.6,0.0
1204,2.7,0.0
1205,2.8,0.0
1206,2.9,0.0
1207,3.0,0.0
1208,3.1,0.0
1209,3.2,0.0
1210,3.3,0.0
1211,3.4,0.0
1212,3.5,0.0
1213,3.4,0.0
1214,3.3,0.0
1215,3.2,0.0
1216,3.1,0.0
1217,3.0,0.0
1218,2.9,0.0
1219,2.8,0.0
1220,2.7,0.0
1221,2.6,0.0
1222,2.5,0.0
1223,2.4,0.0
1224,2.3,0.0
1225,2.4,0.0
1226,2.5,0.0
1227,2.6,0.0
1228,2.7,0.0
1229,2.8,0.0
1230,2.9,0.0
1231,3.0,0.0
1232,3.1,0.0
1233,3.2,0.0
1234,3.3,0.0
1235,3.4,0.0
1236,3.5,0.0
1237,3.4,0.0
1238,3.3,0.0
1239,3.2,0.0
1240,3.1,0.0
1241,3.0,0.0
1242,2.9,0.0
1243,2.8,0.0
1244,2.7,0.0
1245,2.6,0.0
1246,2.5,0.0
1247,2.4,0.0
1248,2.3,0.0
1249,2.4,0.0
1250,2.5,0.0
1251,2.6,0.0
1252,2.7,0.0
1253,2.8,0.0
1254,2.9,0.0
1255,3.0,0.0
1256,3.1,0.0
1257,3.2,0.0
1258,3.3,0.0
1259,3.4,0.0
1260,3.5,0.0
1261,3.4,0.0
1262,3.3,0.0
1263,3.2,0.0
1264,3.1,0.0
1265,3.0,0.0
1266,2.9,0.0
1267,2.8,0.0
1268,2.7,0.0
1269,2.6,0.0
1270,2.5,0.0
1271,2.4,0.0
1272,2.3,0.0
1273,2.4,0.0
1274,2.5,0.0
1275,2.6,0.0
1276,2.7,0.0
1277,2.8,0.0
1278,2.9,0.0
1279,3.0,0.0
1280,3.1,0.0
1281,3.2,0.0
1282,3.3,0.0
1283,3.4,0.0
1284,3.5,0.0
1285,3.4,0.0
1286,3.3,0.0
1287,3.2,0.0
1288,3.1,0.0
1289,3.0,0.0
1290,2.9,0.0
1291,2.8,0.0
1292,2.7,0.0
1293,2.6,0.0
1294,2.5,0.0
1295,2.4,0.0
1296,2.3,0.0
1297,2.4,0.0
1298,2.5,0.0
1299,2.6,0.0
1300,2.7,0.0
1301,2.8,0.0
1302,2.9,0.0
1303,3.0,0.0
1304,3.1,0.0
1305,3.2,0.0
1306,3.3,0.0
1307,3.4,0.0
1308,3.5,0.0
1309,3.4,0.0
1310,3.3,0.0
1311,3.2,0.0
1312,3.1,0.0
1313,3.0,0.0
1314,2.9,0.0
1315,2.8,0.0
1316,2.7,0.0
1317,2.6,0.0
1318,2.5,0.0
1319,2.4,0.0
1320,2.3,0.0
1321,2.4,0.0
1322,2.5,0.0
1323,2.6,0.0
1324,2.7,0.0
1325,2.8,0.0
1326,2.9,0.0
1327,3.0,0.0
1328,3.1,0.0
1329,3.2,0.0
1330,3.3,0.0
1331,3.4,0.0
1332,3.5,0.0
1333,3.4,0.0
1334,3.3,0.0
1335,3.2,0.0
1336,3.1,0.0
1337,3.0,0.0
1338,2.9,0.0
1339,2.8,0.0
1340,2.7,0.0
1341,2.6,0.0
1342,2.5,0.0
1343,2.4,0.0
1344,2.3,0.0
1345,2.4,0.0
1346,2.5,0.0
1347,2.6,0.0
1348,2.7,0.0
1349,2.8,0.0
1350,2.9,0.0
1351,3.0,0.0
1352,3.1,0.0
1353,3.2,0.0
1354,3.3,0.0
1355,3.4,0.0
1356,3.5,0.0
1357,3.4,0.0
