Hour,Electricity Demand (kWh),Space Heating Demand (kWh),Space Cooling Demand (kWh),Domestic Hot Water Demand (kWh),Solar Irradiance (kW/m2),Wind Speed (m/s),Ambient Temperature (C)
246,1.61,1.01,2.62,0.74,0.03,0.36,30.76
247,1.68,3.94,2.04,0.28,0.75,14.31,-3.07
248,1.06,2.47,2.82,0.26,0.02,13.27,34.34
249,1.81,0.04,0.65,0.74,0.1,6.43,26.1
250,0.8,3.58,0.12,0.62,0.41,6.43,8.19
251,1.42,1.13,0.24,1.25,0.85,5.92,22.39
252,1.12,2.2,0.61,0.55,0.57,4.63,33.94
253,1,1.47,0.16,1.22,0.64,10.67,8.82
254,1.31,0.7,0.79,0.6,0.05,10.68,12.73
255,0.95,2.41,2.56,0.92,0.83,3.82,28.73
256,0.83,0.86,0.79,1.31,0.33,6.18,12.97
257,1.31,0.91,2.45,0.41,0.17,2.48,-0.13
258,1.29,3.21,0.96,0.65,0.04,12.5,21.01
259,1.72,2.57,1.31,1.14,0.86,3.96,8.87
260,1.48,3.67,2.56,0.47,0.41,9.87,32.71
261,1,1.75,1.48,0.29,0.76,13.41,-0.73
262,1.53,2.02,0.37,1.47,0.54,4.89,14.72
263,0.67,0.28,1.08,0.65,0.57,10.56,24.6
264,0.77,1.44,2.44,1.34,0.96,9.54,30.84
265,1.38,0.2,0.21,0.49,0.67,7,24.97
266,1.34,1.4,2.22,0.89,0.59,11.98,32.42
267,1.3,1.63,2.21,1.33,0.56,10.89,24.93
268,1.45,0.69,1.33,0.28,0.54,10.72,7.06
269,0.73,3.42,0.06,1.18,0.96,9.55,28.54
270,1.7,1.35,0.73,0.37,0.34,3.29,16.62
271,1.81,0.22,0.82,0.5,0.03,13.82,23.34
272,1.28,1.56,2.29,0.66,0.11,5.31,6.79
273,1.53,2.19,1.61,0.58,0.79,12.36,34.27
274,1.73,1.91,1.01,0.69,0.92,9.73,19.56
275,1.48,2.25,1.85,1.1,0.07,4.73,29.38
276,1.15,3.53,0.31,0.52,0.09,13.54,31.6
277,1.52,0.12,2.99,1,0.1,1.42,16.18
278,1.9,3.16,0.23,0.97,0.18,8.96,25.38
279,0.93,1.5,2.47,0.52,0.12,9.82,32.17
280,1.7,1.54,1.32,0.3,0.37,10.8,5.26
281,2,2.36,2.66,0.53,0.4,8.75,7.29
282,1.64,2.37,0.6,1.04,0.52,2.79,29.25
283,0.97,0.42,1.65,0.53,0.79,9.15,7.91
284,0.68,2.54,1.78,0.48,0.58,10.79,4.39
285,1.32,0.7,1.39,1.42,0.09,12.76,-2.94
286,0.67,1.18,0.84,1.45,0.81,11.16,10.64
287,1.19,1.93,2.43,0.72,0.75,1.09,30.09
288,1.01,2.67,0.62,1.21,0.77,8.72,5.68
289,1.21,3.03,0.78,0.29,0.57,10.31,34.63
290,0.97,2.88,1.24,1.38,0.42,14.58,-3.88
291,1.77,2.08,2.49,0.65,0.17,1.97,4.38
292,1.16,0.68,0.02,1.2,0.95,4.26,18.01
293,0.66,2.71,2.68,1.05,0.87,12.09,26.83
294,1.47,3.91,1.63,0.72,0.25,8.93,16.61
295,1.67,3.27,0.28,0.3,0.32,4.66,-2.6
296,1.14,1.72,0.67,1,0.06,10.27,10.97
297,1.41,1.84,0.21,0.29,0.75,4.29,29.44
298,1.17,3.82,1.35,1.45,0.66,2.74,-1.44
299,0.8,0.27,0.06,0.76,0.79,1.56,15.61
300,1.4,2.37,2.03,0.58,0.1,8.86,20.82
301,1.55,0.56,0.36,0.47,0.11,4.08,34.84
302,0.87,0.3,0.61,0.3,0.85,9.83,3.67
303,1.56,1.14,0.04,1.12,0.69,10.93,32.75
304,1.79,0.92,0.7,1.49,0.3,12.33,13.4
305,1.88,0.18,0.11,0.8,0.45,7.11,-2.72
306,0.76,3.41,0.29,1.12,0.42,2.54,29.11
307,0.75,3.34,2.89,0.83,0.48,2.7,-1.41
308,1.8,2.72,0.27,0.73,0.38,5.29,-1.13
309,1.53,3.07,2.36,0.67,0.96,10.05,-4.86
310,0.69,0.27,1.93,1.36,0.35,13.58,10.86
311,1.24,1.09,0.88,1.19,0.39,14.07,3.23
312,1.64,2.37,2.58,1.32,0.85,3.7,1.49
313,0.8,3.57,1.42,0.33,0.01,2.24,29.37
314,1.87,2.83,0.89,0.67,0.78,12.86,14.24
315,1.8,0.07,2.39,0.47,0.23,10.34,13
316,1.39,0.96,2.09,0.42,0.59,6.26,27.13
317,1.67,1.62,0.24,1.35,0.26,1.69,12.05
318,0.72,2.49,0.99,1.36,0.87,5.65,0.35
319,0.87,2.66,1.99,0.94,0.92,0.15,-0.91
320,1.66,2.44,0.77,0.54,0.18,13.22,8.32
321,1.17,0.28,1.85,1.47,0.88,11.44,24.43
322,0.77,3.03,0.91,0.34,0.13,7.9,19.08
323,0.94,2.68,0.62,1.21,0.44,8.09,29.95
324,1.43,0.85,1.06,0.63,0.02,2.05,1.15
325,0.56,1.99,1.08,0.72,0.39,13.64,14.16
326,0.72,1.02,1.97,1.24,0.08,3.65,28.22
327,0.8,2.75,1.77,0.25,0.66,1.63,24.02
328,1.83,0.86,1.3,0.81,0.67,12.17,6.44
329,1.83,0.08,2.24,0.73,0.12,9.96,5.94
330,0.82,1.73,2.59,0.54,0.8,2.24,11.41
331,1.4,0.17,0.25,1.45,0.22,0.07,-4.26
332,1.04,0.17,1.91,0.85,0.3,11.67,1.4
333,0.58,0.76,2.14,0.77,0.11,13.2,9.58
334,0.73,2.88,1.32,1.1,0.84,9.82,24.07
335,0.51,3.77,0.17,1.17,0.5,12.73,20.25
336,1.98,2.05,1.32,0.54,0.85,10.01,34.74
337,1.47,2.71,2.62,0.59,0.43,14.73,8.72
338,0.7,0.2,0.48,0.25,0.39,14.65,29.25
339,1.6,3.16,1.09,1.49,0.46,12.76,8.83
340,1.42,1.79,2.23,0.2,0.49,9.77,5.1
341,0.81,1.93,2.62,0.82,0.38,1.18,14.8
342,1.24,3.21,2.74,0.78,0.46,11.99,14.44
343,1.42,0.47,2.33,1.25,0.48,10.8,7.46
344,1.04,1.82,1.78,0.29,0.99,12.68,30.56
345,1.94,2.16,1.05,0.6,0.63,14.32,32.14
346,0.64,2.45,1.46,1.14,0.86,14.92,16.44
347,0.69,2.83,0.02,1.47,0.49,1.53,21.12
348,1.78,2.52,1.05,1.5,0.59,0.13,22.31
349,0.88,3.39,2.18,0.43,0.03,10.89,6.75
350,0.7,3.93,1.97,0.29,0.29,13.26,22.03
351,1.08,0.07,0.02,0.84,0.8,8.55,11.14
352,0.75,1.65,1.64,0.25,0.34,0.9,11.84
353,1.26,1.64,0.02,0.81,0.72,11.99,30.05
354,1.6,3,1.09,1.43,0.03,2.8,17.3
355,1.63,1.16,2.97,1.29,0.56,7.24,32.37
356,0.95,0.06,1.23,0.26,0.99,5.57,24.21
357,1.54,0.3,2.68,0.23,0.71,7.41,17.11
358,1.95,3.69,0.05,0.75,0.7,2.33,23.23
359,0.51,3.67,2.16,0.34,0.48,10.09,8.27
360,1.47,1.03,1.37,0.68,0.28,6.13,13.51
361,1.25,3.74,1.64,1.11,0.41,5.76,12.92
362,1.09,3.5,2.98,0.64,0.51,2.66,28.1
363,0.81,2.76,0.92,0.67,0.71,9.3,7.76
364,0.69,0.98,2.59,0.3,0.16,9.9,17.13
365,1.88,0.47,2.75,1.38,0.37,1.21,12.15
366,0.55,0.67,0.89,1.27,0.86,12.35,32.71
367,1.2,0.79,0.14,0.69,0.01,13.3,29.18
368,0.81,3.23,2.36,0.92,0.82,14.84,32.25
369,0.72,1.28,2.8,0.84,0.05,5.18,12.53
370,1.03,2.71,1.43,0.48,0.78,9.11,10.88
371,0.97,3.07,2.62,0.5,0.99,1.82,5.92
372,1.19,1.73,0.66,0.85,0.75,6.3,4.53
373,1.24,0.86,2.27,0.75,0.53,12.88,12.73
374,1.26,1.9,2.11,0.73,0.13,10.82,1.66
375,0.7,0.54,1.58,1.29,0.06,7.72,34.85
376,0.76,3.26,0.96,0.23,0.4,12.59,1.98
377,0.99,3.23,0.75,1.45,0.41,12.46,25.06
378,0.62,3.74,2.16,1.23,0.23,13.63,28.36
379,1.75,3.25,1.71,1.36,0.4,3.01,33.37
380,0.65,2.6,2.59,1.04,0.29,3.43,7.06
381,0.84,1.51,2.46,0.57,0.06,14.64,30.07
382,1.46,1.99,0.53,0.88,0.45,7.6,6.62
383,1.9,0.75,0.64,0.78,0.48,9.73,15.19
384,0.7,2.69,2.83,0.43,0.7,13.59,18.11
385,1.16,3.34,1.13,1.47,0.55,8.15,15.46
386,0.95,2.79,1.64,0.59,0.9,2.24,1.43
387,1.22,3.83,1.27,0.25,0.35,5.77,34.57
388,1.16,3.89,1.69,0.84,0.22,7.76,1.86
389,1.37,2.79,2.03,0.34,0.07,7.13,-2.38
390,0.56,2.98,1.09,1.28,0.39,14.92,-4.83
391,1.74,1.31,1,0.24,0.05,3.47,24.9
392,0.55,0.18,2.54,0.27,0.48,11.43,-2.97
393,1.36,3.43,1.85,1.23,0.89,0.47,3.97
394,1.72,2.75,2.56,0.37,0.54,5.48,15.92
395,0.67,3.86,2.61,0.93,0.66,1.46,3.78
396,1.52,0,0.48,1.01,0.88,8.51,28.16
397,0.82,2.86,2.4,1.49,0.13,4.28,14.05
398,0.8,1.07,2.7,0.53,0.55,9.35,30.58
399,0.57,1.78,1.32,0.58,0.36,8.82,30.51
400,1.05,1.81,1.51,0.29,0.59,7.72,13.85
401,1.84,0.14,1.13,0.27,0.13,12.68,3.67
402,1.56,3.41,0.45,0.73,0.36,6.6,9.6
403,1.35,0.35,1.6,1.06,0.71,11.3,30.41
404,1.73,3.81,1.19,1.06,0.57,6.41,27.98
405,1.75,2.28,2.47,1.21,0.74,14.36,4.56
406,1.39,1.1,1.46,0.9,0.45,2.4,14.71
407,0.97,2.55,2.87,1.23,0.17,11.02,24.39
408,1.82,3.71,2.21,0.43,0.23,0.97,7.32
409,1.02,3.12,0.7,1.02,0.77,2.39,23.11
410,0.76,0.66,1.21,1.21,0.35,7.94,-1.16
411,1.34,1.24,1.84,0.94,0.41,6.8,16.22
412,0.63,0.43,0.4,1.14,0.83,14.4,10.82
413,0.82,2.93,1.53,0.38,0.22,0.02,-2.52
414,1.77,0.8,2.61,0.78,0.81,8.96,28.48
415,1.13,2.98,0.52,1.31,0.12,4.77,6.4
416,1.23,0.53,0.25,0.61,0.15,7.28,2.63
417,1.31,3.05,1.49,1.37,0.36,8.33,18.06
418,1.24,2.06,2.67,1.48,0.82,8.11,30.53
419,0.83,3.35,2.11,0.38,0.72,14.39,28.04
420,1.87,2.08,1.72,0.39,0.76,14.8,0.05
421,1.52,0.99,0.52,0.69,0.19,7.57,11.58
422,1.48,2.72,2.23,0.93,0.98,6.03,32.99
423,1.76,1.2,2.02,1.19,0.1,10.84,2.37
424,1.51,0.37,2.87,0.29,0.11,7.78,16.6
425,0.68,3.31,0.37,1.22,0.36,11.04,-4.76
426,1.01,2.92,0.99,0.41,0.53,5.75,-1.2
427,1.06,0.23,1.45,0.31,0.75,6.99,5.74
428,1.51,3.71,1.92,0.98,0.66,1.22,4.63
429,1.56,0.81,1.41,0.3,0.89,9.85,17.35
430,1.33,2.97,1.17,0.3,0.6,12.3,2.96
431,1.1,0.09,1.11,1,0.07,2.67,19.88
432,1.81,1.92,0.29,1.11,0.47,14.27,30.02
433,1.33,1.03,1.23,1.4,0.77,14.73,27.63
434,1.74,2.22,0.75,1.44,0.48,8.64,23.94
435,1.89,1.08,0.87,0.82,0.13,1.18,-0.6
436,1.13,1.99,0.01,1.04,0.7,11.93,4.62
437,0.94,0.05,0.11,1.21,0.73,7,8.3
438,1.06,3.63,0.85,1.4,0.76,12.98,21.41
439,0.62,3.23,0.57,0.23,0.34,12.15,7.06
440,1.03,0.1,1.67,0.48,0.68,8.79,-4.05
441,1.26,3.95,1.54,0.88,0.74,0.52,25.96
442,0.81,3.71,2.56,0.5,0.39,8.88,30.85
443,0.77,2.64,0.18,0.87,0.42,11.43,22.82
444,0.98,1.58,2.06,1.08,0.49,9.82,8.36
445,0.65,3.54,2.73,1.2,0.61,9.82,20.84
446,1.24,3.43,1.86,1.29,0.3,11.5,23.7
447,1.45,1.69,2.55,1.49,0.16,7.94,1.38
448,1.38,2.82,1.72,1.34,0.25,11.48,28.62
449,0.92,3.24,2.33,0.65,0.53,3.33,24.63
450,1.79,3.27,0.2,0.58,0.75,6.1,15.87
451,0.66,3.89,0.5,0.59,0.87,9.88,0.24
452,0.5,3.2,0.27,0.32,0.9,2.46,27.97
453,0.7,2.22,2.74,1.06,0.57,11.5,9.06
454,1.59,3.22,1.71,0.21,0.86,8.79,2.21
455,1.68,1.21,1.03,0.58,0.26,10.97,34.68
456,1.65,0.99,1.6,1.2,0.44,12.91,19.42
457,0.99,1.18,0.03,0.81,0.22,14.52,26.71
458,1.81,2.18,2.08,0.74,0.14,4.34,0.46
459,1.83,2.35,0.79,1.22,0.67,11.91,19.74
